28.01.2013  15:42:56   þ LBA Warning: 243114705
28.01.2013  15:42:57   þ LBA Warning: 243116490
28.01.2013  15:42:57   þ LBA Warning: 243117510
28.01.2013  15:42:57   þ LBA Warning: 243118275
28.01.2013  15:42:58   þ LBA Warning: 243119295
28.01.2013  15:42:58   þ LBA Warning: 243119550
28.01.2013  15:42:59   þ LBA Warning: 243123120
28.01.2013  15:42:59   þ LBA Warning: 243123885
28.01.2013  15:43:03   þ LBA warning: 243124140
28.01.2013  15:43:03   þ LBA Warning: 243125925
28.01.2013  15:43:04   þ LBA warning: 243126945
28.01.2013  15:43:05   þ LBA Warning: 243129495
28.01.2013  15:43:05   þ LBA Warning: 243129750
28.01.2013  15:43:06   þ LBA Warning: 243131535
28.01.2013  15:43:07   þ LBA warning: 243134340
28.01.2013  15:43:07   þ LBA Warning: 243135360
28.01.2013  15:43:07   þ LBA Warning: 243136125
28.01.2013  15:43:09   þ LBA warning: 243136380
28.01.2013  15:43:13   þ LBA Error: 243137285
28.01.2013  15:43:13   þ LBA Warning: 243137400
28.01.2013  15:43:16   þ LBA warning: 243139950
28.01.2013  15:43:18   þ LBA warning: 243141735
28.01.2013  15:43:18   þ LBA Warning: 243142755
28.01.2013  15:43:19   þ LBA warning: 243144795
28.01.2013  15:43:21   þ LBA warning: 243145815
28.01.2013  15:43:21   þ LBA Warning: 243148365
28.01.2013  15:43:22   þ LBA Warning: 243148620
28.01.2013  15:43:24   þ LBA warning: 243149385
28.01.2013  15:43:24   þ LBA Warning: 243149640
28.01.2013  15:43:24   þ LBA Warning: 243150405
28.01.2013  15:43:26   þ LBA warning: 243151425
28.01.2013  15:43:26   þ LBA Warning: 243152190
28.01.2013  15:43:29   þ LBA warning: 243258780
28.01.2013  15:43:30   þ LBA warning: 243259035
28.01.2013  15:43:30   þ LBA warning: 243259800
28.01.2013  15:43:31   þ LBA Warning: 243262605
28.01.2013  15:43:32   þ LBA warning: 243263625
28.01.2013  15:43:32   þ LBA Warning: 243264390
28.01.2013  15:43:32   þ LBA Warning: 243264645
28.01.2013  15:43:36   þ LBA warning: 243265410
28.01.2013  15:43:37   þ LBA Warning: 243266430
28.01.2013  15:43:37   þ LBA Warning: 243267195
28.01.2013  15:43:37   þ LBA Warning: 243268215
28.01.2013  15:43:38   þ LBA warning: 243269235
28.01.2013  15:43:39   þ LBA Warning: 243270000
